	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
21	Single Protein	P07358	Complement component C8 beta chain (CO8B_HUMAN)	P07358		1	C8B	Homo sapiens	9606	42.81	46.53	72.08	31	26	30	26	66	62	Oxidation of M (M359);Pyrolidone from carbamidomethylated C (K160)	Oxidation of M (1);Pyrolidone from carbamidomethylated C (1)			97.6432024704091	67.00347305797727	100.0	Confident
22	Related Proteins	OAS_antibody_pep_29539		OAS_antibody_pep_29539,OAS_antibody_pep_452	OAS_antibody_pep_452					100.0	100.0	100.0	2	1	2	1	2	1					44.06356382668885	1.8108824746484602	100.0	Doubtful
23	Single Protein	Q13790	Apolipoprotein F (APOF_HUMAN)	Q13790		12	APOF	Homo sapiens	9606	8.28	13.8	53.07	4	2	4	2	11	7					24.45145738359612	35.377001958278065	99.66555183946488	Confident
24	Single Protein	A0A0C4DH43	Immunoglobulin heavy variable 2-70D (HV70D_HUMAN)	A0A0C4DH43		14	IGHV2-70D	Homo sapiens	9606	33.61	36.13	66.39	4	3	1	1	5	4					31.2349313201845	13.30383129425289	94.73684210526316	Confident
25	Single Protein	Q9UJJ9	N-acetylglucosamine-1-phosphotransferase subunit gamma (GNPTG_HUMAN)	Q9UJJ9		16	GNPTG	Homo sapiens	9606	6.89	6.89	51.48	1	1	1	1	1	1					4.490554275331347	33.95217581658191	90.1639344262295	Doubtful
26	Related Proteins	P01880	Immunoglobulin heavy constant delta (IGHD_HUMAN)	P01880,P01880-2,P0DOX3	P01880-2,P0DOX3	14	IGHD	Homo sapiens	9606	14.32	14.32	65.36	5	5	5	5	5	5	Oxidation of M (M43)	Oxidation of M (1)			14.044163769462582	42.326319640423804	100.0	Confident
27	Related Proteins	A0A075B6I9	Immunoglobulin lambda variable 7-46 (LV746_HUMAN)	A0A075B6I9,P04211	P04211	22	IGLV7-46	Homo sapiens	9606	7.69	15.38	18.8	4	1	4	1	7	4					96.13868471277567	12.4600897742759	98.24561403508771	Doubtful
28	Single Protein	P01009	Alpha-1-antitrypsin (A1AT_HUMAN)	P01009		14	SERPINA1	Homo sapiens	9606	75.36	83.01	68.66	96	76	12	10	786	638	Oxidation of M (M86, M243, M244, M249, M265, M374, M381, M408);Phosphorylation of S (S37);Pyrolidone from E (A23, K197, T226);Pyrolidone from Q (E399)	Oxidation of M (8);Phosphorylation of S (1);Pyrolidone from E (3);Pyrolidone from Q (1)			1537.7723180770577	46.707019438538346	100.0	Confident
29	Single Protein	OAS_antibody_pep_9012		OAS_antibody_pep_9012						100.0	100.0	100.0	2	2	1	1	4	4					78.33522458078019	1.8950112398885401	100.0	Confident
30	Single Protein	OAS_antibody_pep_7637		OAS_antibody_pep_7637						100.0	100.0	100.0	3	3	2	2	5	5	Pyrolidone from E (E0)	Pyrolidone from E (1)			115.44138359272868	1.9530167191918002	100.0	Confident
31	Related Proteins	OAS_antibody_pep_349		OAS_antibody_pep_13275,OAS_antibody_pep_22194,OAS_antibody_pep_23883,OAS_antibody_pep_25628,OAS_antibody_pep_2888,OAS_antibody_pep_32972,OAS_antibody_pep_349,OAS_antibody_pep_36148,OAS_antibody_pep_38936	OAS_antibody_pep_13275,OAS_antibody_pep_22194,OAS_antibody_pep_23883,OAS_antibody_pep_25628,OAS_antibody_pep_2888,OAS_antibody_pep_32972,OAS_antibody_pep_36148,OAS_antibody_pep_38936					100.0	100.0	100.0	2	1	2	1	5	3					128.18491295036756	1.36069215469764	98.24561403508771	Doubtful
32	Related Proteins	OAS_antibody_pep_2294		OAS_antibody_pep_2294,OAS_antibody_pep_70470	OAS_antibody_pep_70470					100.0	100.0	100.0	1	1	1	1	2	1					44.06356382668885	1.7928454204334001	100.0	Doubtful
33	Single Protein	P80108	Phosphatidylinositol-glycan-specific phospholipase D (PHLD_HUMAN)	P80108		6	GPLD1	Homo sapiens	9606	13.45	23.33	57.26	16	10	13	8	27	19	Oxidation of M (M736)	Oxidation of M (1)			27.848905204393784	92.27796084983272	100.0	Confident
34	Related Proteins	Q92954	Proteoglycan 4 (PRG4_HUMAN)	Q92954,Q92954-2,Q92954-3,Q92954-4,Q92954-5,Q92954-6	Q92954-2,Q92954-3,Q92954-4,Q92954-5,Q92954-6	1	PRG4	Homo sapiens	9606	6.05	10.04	75.93	13	7	12	7	20	14					9.259135363206664	150.96766286149972	100.0	Confident
35	Single Protein	OAS_antibody_pep_69061		OAS_antibody_pep_69061						100.0	100.0	100.0	2	2	1	1	4	3					141.0034042454043	1.64183623564869	95.08196721311475	Confident
36	Single Protein	Q9UGM5	Fetuin-B (FETUB_HUMAN)	Q9UGM5		3	FETUB	Homo sapiens	9606	21.99	21.99	57.07	6	6	2	2	8	8					25.872184265211803	42.02796318609698	100.0	Confident
37	Single Protein	P00734	Prothrombin (THRB_HUMAN)	P00734		11	F2	Homo sapiens	9606	49.84	53.22	72.99	44	39	43	38	122	114	Oxidation of M (M465, M547, M584);Pyrolidone from E (R352);Pyrolidone from Q (L522)	Oxidation of M (3);Pyrolidone from E (1);Pyrolidone from Q (1)			169.65442636355093	69.99212402466195	100.0	Confident
38	Related Proteins	OAS_antibody_pep_62		OAS_antibody_pep_10315,OAS_antibody_pep_10354,OAS_antibody_pep_10470,OAS_antibody_pep_10688,OAS_antibody_pep_10735,OAS_antibody_pep_10865,OAS_antibody_pep_11696,OAS_antibody_pep_11718,OAS_antibody_pep_12219,OAS_antibody_pep_13011,OAS_antibody_pep_13038,OAS_antibody_pep_13266,OAS_antibody_pep_13315,OAS_antibody_pep_13453,OAS_antibody_pep_14322,OAS_antibody_pep_1442,OAS_antibody_pep_14635,OAS_antibody_pep_16007,OAS_antibody_pep_16404,OAS_antibody_pep_17610,OAS_antibody_pep_20446,OAS_antibody_pep_20919,OAS_antibody_pep_2213,OAS_antibody_pep_25047,OAS_antibody_pep_25131,OAS_antibody_pep_25422,OAS_antibody_pep_25773,OAS_antibody_pep_26842,OAS_antibody_pep_26999,OAS_antibody_pep_27482,OAS_antibody_pep_30138,OAS_antibody_pep_30437,OAS_antibody_pep_32056,OAS_antibody_pep_32453,OAS_antibody_pep_3341,OAS_antibody_pep_33543,OAS_antibody_pep_33923,OAS_antibody_pep_3408,OAS_antibody_pep_3686,OAS_antibody_pep_3952,OAS_antibody_pep_40142,OAS_antibody_pep_40151,OAS_antibody_pep_4144,OAS_antibody_pep_4333,OAS_antibody_pep_43768,OAS_antibody_pep_43953,OAS_antibody_pep_4400,OAS_antibody_pep_44347,OAS_antibody_pep_46163,OAS_antibody_pep_46528,OAS_antibody_pep_47371,OAS_antibody_pep_5018,OAS_antibody_pep_5422,OAS_antibody_pep_59260,OAS_antibody_pep_62,OAS_antibody_pep_6245,OAS_antibody_pep_62634,OAS_antibody_pep_6521,OAS_antibody_pep_68841,OAS_antibody_pep_6957,OAS_antibody_pep_71156,OAS_antibody_pep_7157,OAS_antibody_pep_7359,OAS_antibody_pep_73723,OAS_antibody_pep_79436,OAS_antibody_pep_8238,OAS_antibody_pep_8983,OAS_antibody_pep_9038,OAS_antibody_pep_9157,OAS_antibody_pep_9639,P23083	OAS_antibody_pep_10315,OAS_antibody_pep_10354,OAS_antibody_pep_10470,OAS_antibody_pep_10688,OAS_antibody_pep_10735,OAS_antibody_pep_10865,OAS_antibody_pep_11696,OAS_antibody_pep_11718,OAS_antibody_pep_12219,OAS_antibody_pep_13011,OAS_antibody_pep_13038,OAS_antibody_pep_13266,OAS_antibody_pep_13315,OAS_antibody_pep_13453,OAS_antibody_pep_14322,OAS_antibody_pep_1442,OAS_antibody_pep_14635,OAS_antibody_pep_16007,OAS_antibody_pep_16404,OAS_antibody_pep_17610,OAS_antibody_pep_20446,OAS_antibody_pep_20919,OAS_antibody_pep_2213,OAS_antibody_pep_25047,OAS_antibody_pep_25131,OAS_antibody_pep_25422,OAS_antibody_pep_25773,OAS_antibody_pep_26842,OAS_antibody_pep_26999,OAS_antibody_pep_27482,OAS_antibody_pep_30138,OAS_antibody_pep_30437,OAS_antibody_pep_32056,OAS_antibody_pep_32453,OAS_antibody_pep_3341,OAS_antibody_pep_33543,OAS_antibody_pep_33923,OAS_antibody_pep_3408,OAS_antibody_pep_3686,OAS_antibody_pep_3952,OAS_antibody_pep_40142,OAS_antibody_pep_40151,OAS_antibody_pep_4144,OAS_antibody_pep_4333,OAS_antibody_pep_43768,OAS_antibody_pep_43953,OAS_antibody_pep_4400,OAS_antibody_pep_44347,OAS_antibody_pep_46163,OAS_antibody_pep_46528,OAS_antibody_pep_47371,OAS_antibody_pep_5018,OAS_antibody_pep_5422,OAS_antibody_pep_59260,OAS_antibody_pep_6245,OAS_antibody_pep_62634,OAS_antibody_pep_6521,OAS_antibody_pep_68841,OAS_antibody_pep_6957,OAS_antibody_pep_71156,OAS_antibody_pep_7157,OAS_antibody_pep_7359,OAS_antibody_pep_73723,OAS_antibody_pep_79436,OAS_antibody_pep_8238,OAS_antibody_pep_8983,OAS_antibody_pep_9038,OAS_antibody_pep_9157,OAS_antibody_pep_9639,P23083					100.0	100.0	100.0	1	1	1	1	1	1					54.23207855592474	1.3626527919834601	95.38461538461537	Doubtful
39	Related Proteins	O75022	Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIRB3_HUMAN)	O75022,O75022-2,O75022-3,P59901,P59901-2,Q6PI73,Q8N423,Q8N423-1,Q8N423-3,Q8N423-4,Q8N6C8,Q8N6C8-2,Q8N6C8-3	O75022-2,O75022-3,P59901,P59901-2,Q6PI73,Q8N423,Q8N423-1,Q8N423-3,Q8N423-4,Q8N6C8,Q8N6C8-2,Q8N6C8-3	19	LILRB3	Homo sapiens	9606	3.01	3.01	43.9	2	1	2	1	3	2					5.090375604527232	69.34243826682804	100.0	Doubtful
40	Single Protein	P27169	Serum paraoxonase/arylesterase 1 (PON1_HUMAN)	P27169		7	PON1	Homo sapiens	9606	58.31	64.51	61.41	21	16	19	14	46	39					122.89287525975607	39.7062281207421	100.0	Confident
41	Single Protein	P02654	Apolipoprotein C-I (APOC1_HUMAN)	P02654		19	APOC1	Homo sapiens	9606	50.6	50.6	44.58	16	13	16	13	47	42	Oxidation of M (M63);Pyrolidone from E (R64)	Oxidation of M (1);Pyrolidone from E (1)			743.1260494014551	9.32608701863729	100.0	Confident
42	Single Protein	OAS_antibody_pep_10334		OAS_antibody_pep_10334						100.0	100.0	100.0	4	3	1	1	5	4					53.59778523948117	1.86697993976026	100.0	Confident
43	Single Protein	P02675	Fibrinogen beta chain (FIBB_HUMAN)	P02675		4	FGB	Homo sapiens	9606	9.78	12.63	75.56	4	3	4	3	4	4					5.7009462632912795	55.892260781151364	100.0	Confident
44	Single Protein	Q15582	Transforming growth factor-beta-induced protein ig-h3 (BGH3_HUMAN)	Q15582		5	TGFBI	Homo sapiens	9606	11.57	14.2	61.35	8	6	8	6	12	12	Pyrolidone from Q (R395)	Pyrolidone from Q (1)			16.826181890859704	74.63397909536603	100.0	Confident
45	Related Proteins	ANT3_HUMAN		ANT3_HUMAN,P01008	P01008					43.75	59.91	81.68	30	18	30	18	62	49	Oxidation of M (M369)	Oxidation of M (1)	Oxidation of M (S282-{282 283})	Oxidation of M (1)	83.70914500056985	52.568864310294295	100.0	Confident
46	Related Proteins	A0A075B6R9	Probable non-functional immunoglobulin kappa variable 2D-24 (KVD24_HUMAN)	A0A075B6R9,A0A0C4DH68	A0A0C4DH68	2	IGKV2D-24	Homo sapiens	9606	30.0	30.0	38.33	4	3	3	3	5	3					45.979370949588365	13.07068815006624	100.0	Confident
47	Related Proteins	OAS_antibody_pep_219		OAS_antibody_pep_219,OAS_antibody_pep_24335,OAS_antibody_pep_31528,OAS_antibody_pep_35624,OAS_antibody_pep_37702,OAS_antibody_pep_37930,OAS_antibody_pep_48552,OAS_antibody_pep_51609,OAS_antibody_pep_64026,OAS_antibody_pep_74699,OAS_antibody_pep_8307	OAS_antibody_pep_24335,OAS_antibody_pep_31528,OAS_antibody_pep_35624,OAS_antibody_pep_37702,OAS_antibody_pep_37930,OAS_antibody_pep_48552,OAS_antibody_pep_51609,OAS_antibody_pep_64026,OAS_antibody_pep_74699,OAS_antibody_pep_8307					100.0	100.0	100.0	2	2	2	2	5	4	Oxidation of M (M6)	Oxidation of M (1)			256.3698259007351	1.3646870693172	99.67845659163987	Confident
48	Single Protein	P06312	Immunoglobulin kappa variable 4-1 (KV401_HUMAN)	P06312		2	IGKV4-1	Homo sapiens	9606	33.06	33.06	36.36	4	3	4	3	10	4					64.09245647518378	13.371592697054849	99.66442953020133	Confident
49	Single Protein	OAS_antibody_pep_5539		OAS_antibody_pep_5539						100.0	100.0	100.0	5	4	3	2	9	8	Pyrolidone from E (E0)	Pyrolidone from E (1)			202.0224212872752	1.8899959241775701	100.0	Confident
50	Single Protein	P05156	Complement factor I (CFAI_HUMAN)	P05156		4	CFI	Homo sapiens	9606	41.68	43.4	69.47	26	24	24	23	50	45	Oxidation of M (M434)	Oxidation of M (1)			78.33522458078018	65.7066078568572	100.0	Confident
51	Single Protein	P02749	Beta-2-glycoprotein 1 (APOH_HUMAN)	P02749		17	APOH	Homo sapiens	9606	45.8	59.42	74.49	36	21	36	21	97	85	Pyrolidone from E (K326);Pyrolidone from carbamidomethylated C (K203, K305)	Pyrolidone from E (1);Pyrolidone from carbamidomethylated C (2)			208.48752378697912	38.27265933588613	100.0	Confident
52	Related Proteins	A0A0C4DH41	Immunoglobulin heavy variable 4-61 (HV461_HUMAN)	A0A0C4DH41,P01824,P01825,P06331,P0DP06,P0DP07,P0DP08	P01824,P01825,P06331,P0DP06,P0DP07,P0DP08	14	IGHV4-61	Homo sapiens	9606	12.71	12.71	56.78	2	2	1	1	5	5					52.61321053932997	13.05764995656903	100.0	Confident
53	Related Proteins	P04070	Vitamin K-dependent protein C (PROC_HUMAN)	P04070,P04070-2	P04070-2	2	PROC	Homo sapiens	9606	12.15	12.15	51.41	6	6	6	6	18	15	Oxidation of M (M254)	Oxidation of M (1)			44.62133045740643	52.03746598245211	100.0	Confident
54	Single Protein	A0A0G2JMI3	Immunoglobulin heavy variable 1-69-2 (HV692_HUMAN)	A0A0G2JMI3		14	IGHV1-69-2	Homo sapiens	9606	44.44	44.44	93.16	4	4	2	2	6	6	Pyrolidone from E (A18)	Pyrolidone from E (1)			38.80827639781771	12.86221272805316	100.0	Confident
55	Single Protein	P02655	Apolipoprotein C-II (APOC2_HUMAN)	P02655		19	APOC2	Homo sapiens	9606	83.17	83.17	56.44	18	16	17	15	43	36	Oxidation of M (M30, M81);Phosphorylation of S (S32);Pyrolidone from E (K40)	Oxidation of M (2);Phosphorylation of S (1);Pyrolidone from E (1)			432.9051884727326	11.27675359078851	100.0	Confident
56	Single Protein	CAS2_BOVIN		CAS2_BOVIN						3.6	8.56	86.49	2	1	2	1	3	3					7.343927304448141	26.00226670062709	84.21052631578947	Doubtful
57	Related Proteins	A0A0C4DH38	Immunoglobulin heavy variable 5-51 (HV551_HUMAN)	A0A0C4DH38,OAS_antibody_pep_1130,OAS_antibody_pep_11705,OAS_antibody_pep_19601,OAS_antibody_pep_23384,OAS_antibody_pep_27448,OAS_antibody_pep_33264,OAS_antibody_pep_46154,OAS_antibody_pep_5733,OAS_antibody_pep_6057,OAS_antibody_pep_8283	OAS_antibody_pep_1130,OAS_antibody_pep_11705,OAS_antibody_pep_19601,OAS_antibody_pep_23384,OAS_antibody_pep_27448,OAS_antibody_pep_33264,OAS_antibody_pep_46154,OAS_antibody_pep_5733,OAS_antibody_pep_6057,OAS_antibody_pep_8283	14	IGHV5-51	Homo sapiens	9606	12.82	12.82	67.52	3	1	2	1	4	2					8.924266091481286	12.66629996736628	96.49122807017544	Doubtful
58	Single Protein	P03952	Plasma kallikrein (KLKB1_HUMAN)	P03952		4	KLKB1	Homo sapiens	9606	38.87	49.22	71.47	33	26	32	25	58	51	Oxidation of M (M48, M202, M352);Pyrolidone from E (K466);Pyrolidone from carbamidomethylated C (R145, H433)	Oxidation of M (3);Pyrolidone from E (1);Pyrolidone from carbamidomethylated C (2)			73.18159138467622	71.32284288282136	100.0	Confident
59	Related Proteins	CAH1_HUMAN		CAH1_HUMAN,P00915	P00915					6.92	6.92	76.15	1	1	1	1	1	1					3.5606920263990998	28.72134767007075	100.0	Doubtful
60	Related Proteins	P08709	Coagulation factor VII (FA7_HUMAN)	P08709,P08709-2	P08709-2	13	F7	Homo sapiens	9606	11.8	15.88	77.25	4	3	4	3	5	4					5.875141843558514	51.56043596016686	100.0	Confident
61	Related Proteins	OAS_antibody_pep_2168		OAS_antibody_pep_11664,OAS_antibody_pep_2168,OAS_antibody_pep_73574,OAS_antibody_pep_73992	OAS_antibody_pep_11664,OAS_antibody_pep_73574,OAS_antibody_pep_73992					100.0	100.0	100.0	2	2	2	2	4	3	Oxidation of M (M6)	Oxidation of M (1)			192.27736942555134	1.34869215469764	99.68354430379746	Confident
62	Single Protein	OAS_antibody_pep_5287		OAS_antibody_pep_5287						100.0	100.0	100.0	2	2	1	1	3	3					41.22906556883168	1.86697993976026	100.0	Confident
63	Single Protein	P02776	Platelet factor 4 (PLF4_HUMAN)	P02776		4	PF4	Homo sapiens	9606	36.63	36.63	46.53	7	5	4	3	26	22					315.00760522909474	10.837894360925	100.0	Confident
64	Single Protein	P11021	Endoplasmic reticulum chaperone BiP (BIP_HUMAN)	P11021		9	HSPA5	Homo sapiens	9606	5.05	8.41	73.09	4	2	4	2	5	3					4.424793020253274	72.28843632474035	100.0	Confident
65	Single Protein	O43866	CD5 antigen-like (CD5L_HUMAN)	O43866		1	CD5L	Homo sapiens	9606	49.86	53.89	75.79	20	16	18	16	36	32	Pyrolidone from carbamidomethylated C (R313)	Pyrolidone from carbamidomethylated C (1)			83.1008656199151	38.06294365555576	100.0	Confident
66	Related Proteins	P17936	Insulin-like growth factor-binding protein 3 (IBP3_HUMAN)	P17936,P17936-2	P17936-2	7	IGFBP3	Homo sapiens	9606	10.31	17.53	86.94	5	3	5	3	7	6					13.933142711996474	31.653742753837022	99.66329966329967	Confident
67	Single Protein	P00748	Coagulation factor XII (FA12_HUMAN)	P00748		5	F12	Homo sapiens	9606	37.89	44.55	57.72	36	27	35	26	66	59	Pyrolidone from carbamidomethylated C (W71, H117, H411)	Pyrolidone from carbamidomethylated C (3)			109.72448006420547	67.74789448576071	100.0	Confident
68	Single Protein	OAS_antibody_pep_17367		OAS_antibody_pep_17367						100.0	100.0	100.0	1	1	1	1	3	3					141.0034042454043	1.59978928545627	87.3015873015873	Doubtful
69	Single Protein	OAS_antibody_pep_36053		OAS_antibody_pep_36053						100.0	100.0	100.0	2	2	1	1	5	4					78.33522458078019	1.89402722430585	100.0	Confident
70	Related Proteins	GELS_HUMAN		GELS_HUMAN,P06396	P06396					30.31	31.2	57.03	19	17	19	17	31	31	Oxidation of M (M51)	Oxidation of M (1)			45.841913936286154	85.64418928565442	100.0	Confident
71	Single Protein	OAS_antibody_pep_1832		OAS_antibody_pep_1832						100.0	100.0	100.0	1	1	1	1	1	1					44.06356382668885	1.73392130268533	100.0	Doubtful
72	Single Protein	P01700	Immunoglobulin lambda variable 1-47 (LV147_HUMAN)	P01700		22	IGLV1-47	Homo sapiens	9606	22.22	37.61	41.88	5	2	5	2	9	7					71.94051237010426	12.275905538233179	99.66101694915255	Confident
73	Single Protein	OAS_antibody_pep_3069		OAS_antibody_pep_3069						100.0	100.0	100.0	3	2	1	1	4	3					41.22906556883168	1.93900106912766	100.0	Confident
74	Single Protein	P04275	von Willebrand factor (VWF_HUMAN)	P04275		12	VWF	Homo sapiens	9606	24.67	27.91	60.43	74	60	70	58	130	113	Oxidation of M (M1050, M1760, M1784, M1859);Pyrolidone from carbamidomethylated C (R235, R825, R2642)	Oxidation of M (4);Pyrolidone from carbamidomethylated C (3)			45.618748432336695	309.0579167041073	100.0	Confident
75	Related Proteins	P35858	Insulin-like growth factor-binding protein complex acid labile subunit (ALS_HUMAN)	P35858,P35858-2	P35858-2	16	IGFALS	Homo sapiens	9606	29.09	33.22	58.51	15	12	15	12	33	29					51.78091116356656	65.99379615160967	100.0	Confident
76	Single Protein	P06727	Apolipoprotein A-IV (APOA4_HUMAN)	P06727		11	APOA4	Homo sapiens	9606	65.4	67.68	79.04	36	32	36	32	104	97	Oxidation of M (M244);Pyrolidone from E (R168)	Oxidation of M (1);Pyrolidone from E (1)			211.73035142281162	45.34445574405172	100.0	Confident
77	Single Protein	OAS_antibody_pep_2299		OAS_antibody_pep_2299						100.0	100.0	100.0	2	1	2	1	3	2					64.09245647518378	1.3446972400780801	98.27586206896551	Doubtful
78	Related Proteins	O14791	Apolipoprotein L1 (APOL1_HUMAN)	O14791,O14791-2,O14791-3	O14791-2,O14791-3	22	APOL1	Homo sapiens	9606	17.84	20.1	57.29	7	6	7	6	14	12					37.106159011948506	43.946894171801716	100.0	Confident
79	Related Proteins	Q15063	Periostin (POSTN_HUMAN)	Q15063,Q15063-2,Q15063-3,Q15063-4,Q15063-5,Q15063-6,Q15063-7	Q15063-2,Q15063-3,Q15063-4,Q15063-5,Q15063-6,Q15063-7	13	POSTN	Homo sapiens	9606	2.99	2.99	71.17	1	1	1	1	1	1					1.18490255668407	93.2552750791265	100.0	Doubtful
